breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
japanese kai ken,medium,35 - 40 lbs,"18"" - 23""",11 - 13 years,"Kai Dog, Kai Inu, Tora Inu, Tiger Dog",sporting,Japan (1700s),Companion Dog,"Originally used for hunting large game, the breed fell out of favor with the Japanese people once European breeds started being imported into the country after WWI. In the 1930s, breeder Haruo Isogai worked to improve the reputation of the Kai Dog, earning the breed a designation as a ""Natural Monument.""","The Japanese Kai Ken tends to be extremely devoted to a single owner. It is often headstrong and difficult to train. However, it can adjust to apartment or city living if given plenty of opportunities to exercise. Makes an excellent watchdog.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
japanese kishu,medium,45 - 55 lbs,"18"" - 20""",12 years,"Kishu, Kishu Inu",sporting,Japan (Ancient Times),"Companion Dog, Hunting","An ancient breed, the Kishu may have originated on Kyushu, the large island south of Japan. Originally used for hunting, fishing, and guarding, today the rare breed is mostly kept as a highly-prized companion.","The Japanese Kishu is an alert dog with a calm, gentle demeanor. The Japanese Kishu is affectionate toward its owners.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
japanese spitz,small,11 - 13 lbs,"12"" - 14""",12 years,Nihon Supittsu,non-sporting,Japan (1900s),Companion Dog,"It is suspected that the Japanese Spitz is merely the miniaturized version of the Samoyed, which was first introduced by the nomadic Samoyed tribe to Mongolia in Ancient Times. The Mongolians shared the breed with Japan, who later used selective breeding to develop the small Spitz.","This breed is intelligent, alert, obedient and playful. The Japanese Spitz is easy to train and enjoys learning tricks and playing games. Despite its small size, this breed fancies itself a guard dog and will make brave attempts to protect its owner. It makes an excellent watchdog. This breed has a tendency to bark frequently, but breeding efforts have reduced this trait somewhat in recent years.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
japanese terrier,small,10 - 13 lbs,"13""",12 - 14 years,"Nippon Terrier, Nihon Terrier, Nihon Teria",terrier,Japan (1700s),"Companion Dog, Hunting","After the Dutch introduced the Smooth Fox Terrier to Japan in the 1700s, breeders began crossing it with local breeds to develop the Japanese Terrier. Due to ""racy"" lines in the breed's figure, it is suggested that Asiatic sighthounds may have played a role in the Terrier's development. Today the breed still serves its original role as a companion and rat hunter.","Resourceful and entertaining demeanor of most dogs in the terrier class. Refined and elegant stature. Unfortunately, systematic in-breeding since the 1930s has resulted in some physical and/or behavioral problems in some lines.","Usually has an excellent health record. Some strains have been severely inbred, resulting in some hereditary physical and mental disorders.",medium,medium,,,,,
jindo,medium,35 - 40 lbs,"16"" - 23""",11 - 12 years,N/A,sporting,Korea (Middle Ages),"Companion Dog, Hunting","While its origin is unknown, it is suspected that descendants of ancient Spitz breeds were brought to Jindo, an island located southwest of mainland Korea, by nomadic people. Over the centuries, Jindos bred only with other Jindos on the island. Once introduced to mainland Korea, however, Jindos were bred with other native dogs. The Jindo was only recently introduced to the U.S. through the immigration of Koreans. It is quickly gaining popularity due to its unique physical and behavioral qualities.","Typical spitz traits include friendliness and protectiveness of family. Aloof with strangers. The Jindo still retains its strong hunting instinct from centuries of such activities, and is not suited to life with other pets. The Jindo prefers to be the only dog in the house.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
kangaroo hound,large,65 - 70 lbs,"17"" - 30""",10 - 12 years,"Australian Greyhound, Kangaroo Dog, Australian Kangaroo Dog",hound,Australia,"Companion Dog, Lure Coursing, Racing","The Kangaroo Hound is a descendant of the English Greyhound. It is quite similar to its ancestor in temperament and in appearance, although some Kangaroo Hounds have a more wirehaired appearance, rather than the smooth coat associated with most Greyhounds.","This breed is free-spirited and energetic. The Kangaroo Hound possesses many of the same qualities as its ancestor, the English Greyhound, including an even temperament and the ability to form strong bonds with humans. Like most sighthounds, Kangaroo Hounds are pack animals that enjoy the company of other dogs. But due to its nature as a coursing hound, it is not the best choice for homes with cats and other small pets.",Bloat; sensitivity to drugs (including anesthetics and insecticides). It is recommended that owners find a veterinarian that is familiar with Greyhounds and / or related breeds because their sensitivity to anesthetics can make routine surgeries more complicated.,high,medium,,,,,
karelian bear dog,medium,45 - 50 lbs,"21"" - 24""",10 - 12 years,"Russo-European Laika, Russko-Europiskaia Laika",sporting,Russia / Finland (1800s),Hunting,"This breed was developed in the 1800s by crossing Finnish Spitz-type dogs (excellent big game hunting skills) with Russian Utchak Shepherds. To this day, the breed is still considered too aggressive to be kept as a companion and is strictly used for hunting purposes.","The Karelian Bear Dog is a fearless, athletic breed that does not make a good companion. It was bred strictly for hunting wolves and other large animals. This breed, which is not well-known outside of Russia, should only be kept by experienced handlers who use the dogs for hunting purposes.","Because this breed is almost never kept as a pet, little is known about its health record.",medium,medium,,,,,
karst shepherd,large,58 - 88 lbs,"20"" - 24""",11 - 12 years,"Istrian Shepherd, Krasky Ovcar",herding,Balkans / Slovenia (Middle Ages),"Companion Dog, Guard Dog","The Karst Shepherd has been guarding flocks in the Karst region of the former Yugoslavia since the Middle Ages. Recent political and economic stability in Slovenia has caused locals to take a renewed interest in native dog breeds, and the Karst Shepherd is becoming more popular.","This breed is independent, reliable and brave. The Karst Shepherd is a confident working breed that prefers to be considered an equal rather than a subordinate. This trait can make training difficult, but Karsts do respond well to patient, consistent trainers. A human's forceful nature will only result in the dog's rejection of both the training and the person. If the Karst feels it is on the same level as its owner (a partner), then it will be obedient. This breed prefers cool climates and a job to do, like herding.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
keeshond,medium,55 - 66 lbs,"16"" - 19""",12 - 14 years,Wolfspitz,non-sporting,Netherlands (1500s),"Companion Dog, Guard Dog","The Keeshond was named after a Dutch politician named Kees de Gyselear. Originally used as a guard dog to ward away both intruders and pests, this breed was a popular working dog on early Dutch boats and barges. Today, the Keeshond is kept exclusively as a companion and is popular in both Europe and the U.S","Intelligent, alert and full of personality, these happy dogs make great companions for children. Keeshonds are moderate to frequent barkers and make good watchdogs. Keeshonds generally love everyone in the family and prefer to be included in group activities. This breed responds best to patient training. Its sensitive nature makes firm training ineffective and even damaging. Some dogs may become timid and need proper socialization to drawn them out of their shell. Trained properly, the Keeshond will entertain you with tricks and games. While Keeshonds don't necessarily eat more than other dogs, they tend to gain weight more easily. Keep a close watch on food intake to maintain a healthy weight.",Hip dysplasia; slipped knee; heart disease; skin problems; easy weight gain,medium,high,TRUE,keeshond,TRUE,TRUE,keeshond
kerry blue terrier,medium,33 - 40 lbs,"17"" - 20""",14+ years,"Irish Blue Terrier, ""Kerry""",terrier,Ireland (1700s),"Companion Dog, Hunting, Field Trials","It is unclear how the Kerry Blue Terrier came into existence. Its unique color suggests that the Portuguese Water Dog or the Spanish Blue Dog may have played a role in its development. Some believe these breeds were crossed with Irish Wolfhounds, Irish Terriers or the Wheaten Terrier to develop its unique coat and other traits. Originally used to hunt fox and pests, today the Kerry Blue is a popular pet and field trialist.","This breed is fun-loving and alert. Kerries like to roughhouse, and their resilient nature makes them a good fit for active children. This breed can live peacefully with other animals if properly introduced, but it usually tends to show aggression toward other dogs. Kerries should be kept on a leash when in public to avoid dog fights. While the Kerry is a load of fun, it also can be a handful. Stubbornness can make training difficult. Consistency and patience is key. This breed is popular in competition field trials because of its high energy and athleticism. Kerries that do not really enjoy the sport will begin to show it by misbehaving over time. Don't be a ""stage"" Mom or Dad. Most Kerries trained for competition enjoy the challenge, but it is not wise to force it on those that don't because they'll begin to rebel. Firm obedience training is required for show dogs.","Kerry Blue Terriers are generally a healthy, long-lived breed. However some lines have experienced the following: hip dysplasia; progressive neuronal abiotrophy; fatal nerve disorder; cataracts; allergies; spiculosis: the formation of coarse hair and correlating hair follicle tumors; entropion; keratoconjunctivitis sicca; distichiasis; narrow palpebral fissure distichiasisme; heart disease; elbow dysplasia; sebaceous cysts; ear infections",medium,high,,,,,
king charles spaniel,small,8 - 14 lbs,"10"" - 11""",11 - 12 years,English Toy Spaniel,sporting,Great Britain (1600s),Companion Dog,"Between the Middle Ages and 17th century, breeders selected the smallest of Spaniel litters to create this toy version of its larger ancestors. The dog was named after one of its biggest fans, King Charles I.","A playful and loving companion, the King Charles Spaniel some can be somewhat shy. This breed is usually good with children. The King Charles Spaniel is smart and well-behaved, but can sometimes be headstrong. The breed is social and loves to be around people most of the time. These dogs are known to be picky eaters. Due to an inactive nature, this breed makes a good choice for apartment or city living. Living conditions should be kept cool, as King Charles Spaniels have a tendency to struggle with breathing in hot weather.",Heart disease; respiratory problems; chronic wheezing and snoring due to short snout; slipped knee; eye problems; ear infections,low,medium,,,,,
king shepherd,large,90 - 150 lbs,"25"" - 29""",10 - 11 years,N/A,herding,United States (1995),"Companion Dog, Guard Dog","Relatively speaking, this new breed is in its infancy. Two American breeders, Shelley Watts-Cross and David Turkheimer began developing this breed in 1995. Contributing breeds to this new shepherd include the Alaskan Malamute, Great Pyrenees and the German Shepherd.","Smart, confident and easy to train. Looks for approval from owners and is eager to please. This large, formidable-looking dog is actually very docile, loving and good with children. Its protective nature makes it a good guard dog if it feels its family is being threatened, although it is usually friendly with strangers and other animals.","Excellent health record. No known hereditary conditions, although the breed is new. It is likely due to its giant size that this breed may suffer from hip dysplasia.",high,medium,,,,,
komondor,large,80 - 130 lbs,"25"" - 35""",12 years,Hungarian Sheepdog,working,Hungary (Ancient Times),"Companion Dog, Guard Dog","Brought by the nomadic Magyars from Asia more than 1,000 years ago, this Hungarian Shepherd dog was first mentioned in literature in the 1500s. It was not until the 1920s that the Komondor gained global attention by appearing at dog shows as a unique European breed.","Serious, brave, commanding and even intimidating. This breed is protective of its people and flock, and will challenge intruders. The Komondor is loyal to its owners, but can be difficult to train due to an independent streak. The Komondor needs to be introduced to people at a young age, or it may become too aggressive for companionship. This breed will tolerate children if raised with them from puppyhood, but this is not an ideal breed for families with kids.",Hip dysplasia; bloat; skin problems,low,medium,TRUE,komondor,FALSE,FALSE,komondor
kooikerhondje,small,20 - 24 lbs,"14"" - 16""",12 - 13 years,"Dutch Decoy Spaniel, Kooiker Dog, ""Kooiker""",working,Netherlands (1700s / 1900s),"Companion Dog, Hunting","Dating back to the 1700s, this breed nearly reached extinction before being revitalized between WWI and WWII. Despite these efforts, only 25 known dogs survived WWII. These are the ancestors to all of the nearly 500 new Kooiker puppies registered each year. Due to the small gene pool that all these puppies are derived from, hereditary health problems are common. Originally used for duck hunting and retrieving, the Kooiker still is an excellent hunting dog, but has gained popularity as a family pet.","This breed is happy, affectionate and self-confident. The Kooikerhondje is loyal to family, but may be wary of strangers. Proper socialization to humans is required early so that the breed will be comfortable around visitors and children. The Kooikerhondje's sensitivity and strong will can make training difficult. This breed requires firmness from its owner in order to learn obedience and manners. This breed is a known ""chewer"" and becomes bored easily. Because of this unfortunate combination, it's important that owners provide Kooikers with plenty of mental and physical stimuli. If the breed is not busy working, playing or exercising, it will find something else to do -- and that ""something"" will probably be destructive to your property.",Von Willebrand's Disease; cataracts; patella luxation; hereditary necrotizing myelopathy,high,medium,,,,,
kromfohrlander,small,25 - 27 lbs,"15"" - 17""",13 - 14 years,N/A,non-sporting,Germany (1940s),Companion Dog,"The Kromfohrlander has a romantic story. In the last days of WWII, American soldiers passing through Krumme Furche, a small town in Germany, gave a local townswoman, Isle Schleifenbaum, a Griffon mix that had been following them. Isle named him ""Peter"" and he became a favorite house pet. It is unclear whether Peter was bred with one of Isle's other dogs or if he ""fell in love"" with the female dog next door. Regardless, the result was a litter of handsome puppies with uniform physical qualities and excellent temperament. Isle bred the two dogs several more times to form the base for this 20th century breed. Today, the Kromfohrlander is dwindling in numbers.","The Kromfohrlander is intelligent, lively and obedient. This breed is extremely attached to its family and does not have a tendency to roam. Alertness makes the Kromfohrlander an excellent watch dog. Bred strictly as a companion dog, this breed is happy being with people all the time and requires only moderate exercise. However, its genetic history is based on the terrier, which means it is fairly energetic.",Stifle-joint disease (degenerative joint disease of the knee that causes slipped knees and bowleggedness),high,medium,,,,,
kuvasz,large,70 - 115 lbs,"26"" - 30""",11 - 13 years,Hungarian Kuvasz,working,Hungary (Middle Ages),"Companion Dog, Guard Dog","It is believed that the Kuvasz originally came to Hungary with nomadic Turkish shepherds in the 12th century. Its name is derived from the Turkish word ""kavas,"" meaning ""armed guard.""","Intelligent, bold and independent, this breed is not for everyone. The Kuvasz has a mind of its own and while it can be ""taught"" certain things, it is not the most trainable breed. Although the social level varies from dog to dog, the Kuvasz is generally fond of its own family and wary of strangers. The breed does well with other pets and children only if raised with them from puppyhood. Otherwise it will be combative, particularly if a new pet or child is introduced to an adult Kuvasz. Dogs that will be used for herding and guarding also should be introduced to their livestock at an early age (6 - 8 weeks) so they can form a bond with the animals they'll be protecting. It's best that an experienced adult dog show the young Kuvasz ""the ropes."" It will be more receptive to ""training"" from a canine teacher. While the Kuvasz is willful, it is also sensitive to scolding and criticism. It's important not to use harsh obedience training methods with this breed. Despite its independent nature, the breed seems ""hard-wired"" to do the right thing in most situations. The same dog that attacks an intruder to protect its owner will watch over the birth of a new lamb to make sure everything goes well. Originally bred to work independently of people, the Kuvasz is an excellent guard dog for people and livestock. It prefers a job to do and will become extremely unhappy if it's expected to be just a family pet.",Hip dysplasia; osteochondritis dissecans; hypertrophic osteodystrophy (condition in puppies that causes swelling of the joints in the lower legs resulting in acute lameness); skin disorders; allergies; chronic drooling and slobbering,high,medium,TRUE,kuvasz,FALSE,FALSE,kuvasz
labradoodle,medium,55 - 57 lbs,"21"" - 26""",13 - 15 years,Labrador/Poodle Mix,non-sporting,Australia (1980s),Companion Dog,"In 1989 an Australian breeder began crossing Labrador Retrievers and Poodles to develop a breed that would make a suitable service dog for people with allergies. These breeds were chosen due to the good temperament and gentleness of the Labrador and the extreme trainability and the non-shedding attributes of the Poodle. While the shedding / non-allergenic issue is still being refined, today's Labradoodles are already making great service dogs in Australia and Hawaii.","Sociable, clever and intelligent. The Labradoodle is friendly and non-aggressive toward strangers. This breed is obedient and quick to learn unusual tasks that other dogs may refuse. This breed is excellent with children and, due to high trainability, makes an excellent service dog for the disabled and / or elderly. This breed requires strong authority from its owner; otherwise, it will try to outsmart you.",Hip dysplasia; Von Willebrand's Disease; patella luxation; elbow dysplasia; progressive retinal atrophy,medium,medium,,,,,
labrador retriever,large,55 - 80 lbs,"22"" - 25""",12 - 13 years,"Lab, Yellow Lab, Black Lab, Chocolate Lab, Small Water Dog",sporting,Great Britain,Companion Dog,"The popular Lab was first recognized in Newfoundland, Canada, in the 1800s. The Labs were used as water dogs to help fishermen retrieve cork floats and fishing nets. Through the fish trade, these dogs were introduced to the shores of England, where locals introduced the breed to hunting. Today the Lab retains its love of the water and is one of the most popular pets in the world.","The Labrador Retriever is good-natured, intelligent and lively. This breed is a willing participant in training and almost any adventure. However, it may be wary of strangers unless socialized at a young age. The Labrador Retriever can be more independent and willful than the Golden Retriever. Due to the size of this dog, early obedience training is key. Teach Labs not to pull on their leash from the beginning because, as an adult, they become very strong. Labs make good watchdogs and will alert owners to an intruder or disturbance. However, the breed does not have a protective nature and should not be expected to guard.",Hip dysplasia; elbow dysplasia; arthritis; eye disorders; cataracts; progressive retinal atrophy; easy weight gain,high,high,TRUE,labrador,TRUE,TRUE,labrador retriever
lakeland terrier,small,15 - 17 lbs,"13"" - 15""",13 - 14 years,Patterdale Terrier,terrier,Great Britain,"Companion Dog, Hunting","This breed was first developed by English farmers to protect flocks from predators. Lakeland Terriers would track and even kill small mammals. Today, the Lakeland Terrier is happy to serve mainly as a family pet.","Affectionate, cheerful and fun. The Lakeland Terrier has traits similar to the Welsh Terrier, but tends to be more independent and headstrong. Although this breed is easy to obedience train, it may be difficult to housebreak. The Lakeland Terrier is a fast learner and will enjoy training more if you keep activities varied and challenging. The Lakeland Terrier interacts with other pets and loves children.",Excellent health record. No known hereditary conditons.,medium,medium,,,,,
lancashire heeler,small,6 - 13 lbs,"10"" - 12""",12 - 13 years,Osrmskirk Heeler,non-sporting,Great Britain (1600s/1960s),Companion Dog,"During the 17th century, the Lancashire Heeler was used to drive cattle to market. The breed became nearly extinct, but was recreated in the 1960s by crossing the Welsh Corgi with the Manchester Terrier. Today the breed is rarely used as a herding dog and is exclusively considered a companion.","The Lancashire Heeler is an instinctive, pleasant and alert breed that tends to be wary of strangers if not socialized properly. Gets along well with older children that are gentle and well-behaved. Because of its ""heeling"" background, the Lancashire has a tendency to nip at people's heels to ""move them along"" -- just like they would when herding sheep or cattle. The breed is somewhat difficult to obedience train, but it can be done with patience and consistency.",Excellent health record. No known hereditary conditions.,low,low,,,,,
lapland spitz,medium,43 - 45 lbs,"16"" - 21""",12 - 13 years,"Swedish Lapphund, Lapphund, Lapplandska Spetz",non-sporting,Sweden (Ancient Times / 1800s),Companion Dog,"The Lapland Spitz's ancestors may predate the Asian sighthounds, which are thought to be the oldest of dogs. Archaeologists have found 7,000 year-old skeletons of dogs that resemble the current day Lapphund in Norway and Finland. Originally used for reindeer herding and sledding, today the breed is mostly kept as a companion.","Affectionate, courageous and lively. Because it comes from a similar region and breeding program, the Lapland Spitz resembles the Samoyed in disposition. Both breeds originated in the Northern-most parts of Scandinavia and Russia and were developed as working dogs (herding and sledding). The Lapland Spitz, like most Northern breeds, is sociable and prefers a job to do. This dog requires constant companionship; otherwise, it may suffer from separation anxiety and become destructive if confined too long to a lonely space. Can be difficult to obedience train.",Excellent health record. No known hereditary conditions.,low,low,,,,,
lapponian herder,large,60 - 66 lbs,"19"" - 21""",11 - 12 years,"Lainporokoira, Lapland Reindeer Dog",herding,Finland,Companion Dog. Herding,"The Lapponian Herder descends from the Finnish Lapphund and the German Shepherd. The breed was originally used as a reindeer herder until the advent of snowmobiles. With rising fuel costs, the breed is seeing a revival, as the Finnish are going back to using dogs for herding to save money.","This breed is good-natured, obedient and easy to train. The Lapponian Herder's high intelligence level requires frequent mental and physical stimulation. If a Lapponian Herder is not used for working purposes, then it will require games and training to occupy its mind",Excellent health record. No known hereditary conditions.,medium,low,,,,,
large munsterland,medium,55 - 65 lbs,"23"" -  24""",12 - 13 years,Grosser Munsterland Vorstehhund,working,Germany (1800s),"Companion Dog, Hunting","The Large Munsterlander descends from the German Longhaired Pointer. It has become more popular outside of Germany in recent years as a companion, as has its smaller brother, the Small Munsterlander.","Intelligent, obedient and friendly, this breed becomes attached to its owners and will not run away. In fact, it will hate to be separated from you - so much that, if left alone for long periods of time, it may become destructive. Consider crating your Large Munsterlander when not home. Munsterlanders are easy to train and capable of learning basic obedience at a young age. The breed is known for its retrieving skills both in the field and the home. It will enjoy bringing you the newspaper or your slippers as much as it loves to retrieve birds for the hunter.",Hip dysplasia,low,low,,,,,
leonberger,large,75 - 110 lbs,"26"" -  32""",10 years,Leo,working,Germany (1800s),Companion Dog,"The Leonberger is a cross between the Great Pyrenees, St. Bernard, Landseer and Newfoundland. German breeder Heinrich Essig developed the breed to resemble the lion on the coat of arms at the town hall in Leonberg, Germany.","The Leonberger is affectionate, sweet and calm. This breed becomes attached to its owner; it will want to be with you all the time. If left alone for long periods of time, your Leonberger may suffer from separation anxiety. This breed is too friendly to be a good watch or guard dog, but its formidable appearance may discourage intruders. Eager to please and train, the Leonburger responds best to patient training, rather than harsh handling. The Leonberger is often described as a ""gentle giant"" and is one of the most family-friendly pets among the large / giant breeds.",Hip dysplasia; bone and joint disorders; eye diseases; behavioral problems,low,low,TRUE,leonberg,TRUE,FALSE,leonberger
levesque,medium,55 - 66 lbs,"26"" - 28""",10 - 12 years,N/A,hound,France (1800s),"Companion Dog, Hunting","The Levesque is named after its breeder, Rogatien Levasque. He crossed the Blue Gascony, Grand Gascon Saintongeois and English Foxhound to create a smaller, agile hunter.","Little is known about this breed, but it is thought to be extinct. It's believed that the last of the Levesque have been incorporated into the development of the Chien Francais Blanc et Noir.",Excellent health record. No known hereditary conditions.,low,low,,,,,
lhasa apso,small,13 - 15 lbs,"10"" - 11""",12 - 14 years,Apso Seng Kyi,non-sporting,Japan (Ancient Times),Companion Dog,"The Lhasa Apso originated hundreds of years ago in the isolated reaches of the Himalayan Mountains. It functioned primarily as a household sentinel, guarding homes of Tibetan nobility and Buddhist monasteries, particularly in or near the sacred city of Lhasa. In 1933, C. Suydam Cutting introduced the first Lhasas to the U.S. gifts from the 13th Dalai Lama.","The Lhasa Apso is very devoted and friendly to other people and animals. This breed loves to play games or nap in your lap. Many refer to the breed as ""cat like"" because it loves to climb into cozy places and uses its paws for various activities.",Patellar luxation; entropion; distichiasis; PRA (progressive retinal atrophy); bleeding ulcers,low,high,TRUE,lhasa,TRUE,TRUE,lhasa apso
llewellin setter,medium,35 - 65 lbs,"20"" - 22""",14 - 15 years,N/A,sporting,England (1800s),"Companion Dog, Hunting",The Llewellin Setter was developed from a specific bloodline of English Setters dating back to the 1500s. Breeder Purcell Llewellin developed the Llewellin Setter as it is known today in the 1800s.,"The Llewellin Setter is intelligent, mellow, willing and eager-to-please. This breed is devoted to its family, but is happiest when in the field hunting and retrieving. This breed is adaptable to house living.",Hip dysplasia; elbow dysplasia; eye problems; hypothyroidism; allergies; deafness,medium,low,,,,,
lowchen,small,9 - 18 lbs,"12"" - 14""",13 - 14 years,Little Lion Dog,non-sporting,France (1600s),Companion Dog,"Popular in Western Europe as a companion as early as the 1500s, the Lowchen is a close relative to the other varieties of the Bichon.","Spunky, intelligent and highly social. This breed has a tendency to bark and dig. It will want to be the leader in the household and may not always do well with other pets. The Lowchen requires firm training due to a willful and somewhat arrogant demeanor.",Patellar luxation,low,medium,,,,,
lucernese hound,medium,34 - 44 lbs,"18"" - 23""",12 - 13 years,"Luzerner Laufhund, Lucernese Swiss",hound,Switzerland (Middle Ages),"Companion Dog, Hunting","While its exact origins are unknown, it is thought that the Petit Bleu de Gascone may have played a role in its development due to the Lucernese Hound's tri-colored coat of brown, black and blue.","Like most hunting hounds, the Lucernese Hound is free-spirited and energetic. The breed is known to do well with children and other pets, particularly when raised with them from a young age. Lucernese Hounds have a protective nature, but do not always make good guard dogs. They will alert you to an intruder or disturbance, but will not necessarily guard you from the danger. Adjusts well to urban living as long as it receives plenty of exercise.","Generally healthy, but have a hereditary tendency for obesity.",high,low,,,,,
lundehund,small,13 - 15 lbs,"14""",12 years,"Norwegian Lundehund, Puffin Dog",non-sporting,Norway (1400s),Companion Dog,"The Lundehund has been mentioned in Norwegian records as early as the 1400s, but the breed became better documented in the 1800s. Lundehunds were originally used to hunt puffins, which are Norwegian birds similar in appearance to the penguin.","Affectionate, playful and social. Lundehunds make great lap dogs that love to play with toys (if you're playing with them, too). This breed generally warms up to strangers quickly. However, it has an independent streak can make obedience training and housebreaking a challenge. Patience and consistency are key.",Gastrointestinal problems,medium,low,,,,,
lurcher,large, 60 - 70 lbs,"27"" - 30""",13 years,N/A,terrier,Great Britain / Irelnad (1600s),"Companion Dog, Coursing","This breed was developed by Irish and British who wanted a dog that could help poach rabbits and other small game. The name ""Lurcher"" is derived from the word ""lur"" (""thief"") in the Romany language. Over time both short- and long-haired varieties emerged when Greyhounds were crossed with Collies or Terriers to develop the breed.","This breed is gentle and affectionate toward people. As a pack hound, the Lurcher gets along well with other dogs. However, the breed is not always suitable for homes with cats and other small pets. Its coursing instincts may surface and cause the dog to chase and / or injure smaller pets. While the Lurcher is a quick study at obedience, the breed is known as a ""Houdini"" of the canine world. This breed can escape fast -- and run away even faster. Lurchers, like many sighthounds, are able to jump even the tallest fences. Invisible fences are an absolute necessity when owning this breed. Lurchers are not suitable for urban living due to its extreme need for exercise. The breed is best suited for an active family that spends a lot of time outdoors.",Bloat; sensitivity to drugs (including anesthetics and insecticides). It is recommended that owners find a veterinarian that is familiar with Greyhounds and / or related breeds because their sensitivity to anesthetics can make routine surgeries more complicated.,high,low,,,,,
majestic tree hound,large,75 - 110 lbs,"24"" -  30""",2 years,N/A,hound,United States (1900s),"Companion Dog, Hunting","A fairly recent breed, the Majestic Tree Hound was developed by American breeders by crossing European-type bloodhounds and St. Huberts with big game hounds from the American West. These dogs make great pets, but are best suited to households with hunters that will take them on regular trips.","Affectionate, good-natured and easy to train, the Majestic Tree Hound aims to please. The breed tends to get along well with other dogs, as well as cats and other small pets (if raised with them from an early age). While this breed is loving toward its family, it is a fierce hunter and has been known to track bears, lions and other large cats without fear.",Excellent health record. No known hereditary conditions.,medium,low,,,,,
mallorquin bulldog,large,78 - 80 lbs,"22"" - 23""",10 - 12 years,"Pero de Presa Mallorquin, Ca de Bou, Majorca  Bulldog",non-sporting,"Majorca, Spain (1600s)",Companion Dog,"Between the 1200s - 1600s, this breed was developed on the Balearic island of Majorca as a bull baiter. By the 1700s, the Mallorquin Bulldog became a favorite in the sport of dog fighting. When dog fighting and bull baiting became illegal in the 1900s, the dogs began decreasing in numbers, but breeders from the Spanish mainland saved the breed and began showing it at European dog shows. Today, these dogs are still rare, but through selective breeding are becoming better companions than ever before.","The Mallorquin Bulldog is courageous, independent and strong-willed. This breed has a combative personality and does not interact well with children or other pets. However, it makes an excellent guard dog. Over time, breeders have succeeded in making this dog a more affectionate pet, but it still retains its natural instincts as a fighter. This breed requires strict training and should only be kept by experienced handlers.",Excellent health record. No knwon hereditary conditions.,medium,medium,,,,,
maltese,small,4 - 6 lbs,"8"" - 10""",14 years,Bichon Maltais,toy,Mediterranean region (Ancient Times),Companion Dog,The Maltese is thought to be a descendant of dogs brought by ancient Phoenician traders to Malta. The breed likely a descendant of a cross between the Miniature Poodle and a variety of Miniature Terriers.,"Playful, loving and devoted to its owner, this breed tends to be is often a ""one-person"" dog that's finicky about what it eats. Over-pampering can lead to jealously of visitors, other family members and household pets. However, this breed gets along well with other animals if raised with them from an early age. The Maltese can be difficult to housebreak. Paper-training is recommended. These dogs also can be easily trained to perform a variety of tricks.",Weak digestive system; slipped knee; very sensitive to hot; cold and damp weather; prone to sunburn where hair is parted,low,high,TRUE,maltese,TRUE,TRUE,maltese
manchester terrier,small,12 - 22 lbs,"15"" - 16""",13 - 14 years,"Black and Tan Terrier, English Gentelman's Terrier",terrier,Great Britain (1500s),Companion Dog,"While the Manchester Terrier has been around since the 1500s, a breeder named John Hulme crossed the Black-and-Tan Terrier with the Whippet in the 1800s to develop the current physical standard for this dog. Sleek and agile, this dog was originally used for hunting rabbits and vermin. Today, it is a rare breed that is kept as a companion.","This breed is lively, intelligent and easy to train. Eager to please its owner, the Manchester Terrier does well in obedience and agility trials. This breed can be headstrong and snappish, and is not ideal for homes with children and other pets. Early socialization to people is important to curb some of the breed's innate aggression.",Heat rash; glaucoma (group of eye diseases causing blindness); Von Willebrand's Disease (bleeding disorder that prevents proper blood clotting),low,low,,,,,
maremma sheepdog,large,66 - 100 lbs,"23"" - 29""",10 - 12 years,"Maremma, Pastore Abruzzese, Cane de Pastor Maremmano-Abruzzese",herding,Italy (Ancient Times),"Companion Dog, Guard Dog","The Maremma is a descendant of several Eastern Sheepdogs that spread through Europe in the 1000s - 1100s, including the Kuvac, Kuvasz, Great Pyrenees and Komondor. Originally used as a flock guarding dog, today's Maremma is a companion and guard dog for people and property.","Serious, brave and friendly. This breed is affectionate to its family without being dependent. Highly intelligent, the Maremma can be trained but will only accomplish tasks that it believes are necessary or interesting. If the dog sees no point in the thing you are trying to teach him, he will not bother learning it. This breed is much more responsive to training when it believes it is on the same level as its owner. Does not respond well to firm training that tries to establish authority over it. Because the Maremma has been bred over the ages to be protective of its flock, it has also learned to consider its family part of the flock, and is especially watchful of the children in its family",Excellent health record. No known hereditary conditions.,high,medium,,,,,
